index,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
1070,"Johnson, Cathy G.",The Breakaways,Banned in Libraries and Classrooms,,,,Texas,Spring Branch Independent School District,September 2021,Administrator
1071,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
1072,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Florida,Clay County District Schools,December 2021,Administrator
1073,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Florida,Flagler Schools,November 2021,Administrator
1074,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
1075,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Florida,Orange County Public Schools,November 2021,Administrator
1076,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator
1077,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator
1078,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Iowa,Waukee Community School District,October 2021,Administrator
1079,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
1080,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Maryland,Wicomico County Public Schools,February 2022,Administrator
1081,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator
1082,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge
1083,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Missouri,North Kansas City Schools,October 2021,Formal Challenge
1084,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge
1085,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge
1086,"Johnson, George M.",All Boys Aren't Blue,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1087,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,October 2021,Administrator
1088,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Pennsylvania,East Stroudsburg Area School District,November 2021,Administrator
1089,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Pennsylvania,North Penn School District,September 2021,Administrator
1090,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator
1091,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator
1092,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Texas,Denton Independent School District,December 2021,Administrator
1093,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator
1094,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
1095,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator
1096,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1097,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries and Classrooms,,,,Texas,Tyler Independent School District,November 2021,Administrator
1098,"Johnson, George M.",All Boys Aren't Blue,Banned in Libraries,,,,Utah,Granite School District,October 2021,Formal Challenge
1099,"Johnson, George M.",All Boys Aren't Blue,Banned Pending Investigation,,,,Washington,Kent School District,January 2022,Administrator
1100,"Johnson, George M.",We Are Not Broken,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1101,"Johnson, Kathleen Jeffrie",Target,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1102,"Johnson, Kim",This Is My America,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
1103,"Johnson, Kim",This Is My America,Banned in Classrooms,,,,Pennsylvania,Pennridge School District,August 2021,Administrator
1104,"Johnson, Lana Wood",Speak for Yourself,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1105,"Johnson, Leah",Rise to the Sun,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1106,"Johnson, Leah",You Should See Me in a Crown,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1107,"Johnson, R. Kikuo",The Shark King,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
1108,"Johnson, Varian",My Life as a Rhombus,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1109,"Johnson, Varian",The Parker Inheritance,Banned in Classrooms,,,,North Carolina,Wilkes County School District,April 2022,Administrator
1110,"Johnson, Varian",The Parker Inheritance,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1111,"Johnson, Varian",What Were the Negro Leagues? (What was...? Series),Banned in Classrooms,,"Marchesi, Stephen",,Pennsylvania,Central York School District,August 2021,Administrator
1112,"Johnston, E. K",That Inevitable Victorian Thing,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1113,"Johnston, E. K",The Afterward,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1114,"Johnston, E. K.","Exit, Pursued by a Bear",Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
1115,"Johnston, Tony",Any Small Goodness: A Novel of the Barrio,Banned Pending Investigation,,"Colon, Raul",,Florida,Duval County Public Schools,January 2022,Administrator
1116,"Johnston, Tony",Day of the Dead,Banned Pending Investigation,,"Winter, Jeanette",,Florida,Duval County Public Schools,January 2022,Administrator
1117,"Jones, Adam Garnet",Fire Song,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1118,"Jones, Carrie",Tips on Having a Gay (Ex) Boyfriend (Belle Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1119,"Jones, Jaida",Master of One,Banned Pending Investigation,"Bennett, Danielle",,,Tennessee,Collierville Schools,February 2022,Administrator
1120,"Jones, Kelly",Unusual Chickens for the Exceptional Poultry Farmer (Unusual Chickens Series),Banned Pending Investigation,,"Kath, Katie",,Florida,Duval County Public Schools,January 2022,Administrator
1121,"Jones, Patrick",Combat Zone,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1122,"Joosten, Michael",My Two Dads and Me,Banned Pending Investigation,,"Zenou, Izak",,Florida,Duval County Public Schools,January 2022,Administrator
1123,"Joosten, Michael",My Two Moms and Me,Banned Pending Investigation,,"Zenou, Izak",,Florida,Duval County Public Schools,January 2022,Administrator
1124,"Jordan-Fenton, Christy",Fatty Legs: A True Story,Banned Pending Investigation,"Pokiak-Fenton, Margaret","Amini-Holmes, Liz",,Florida,Duval County Public Schools,January 2022,Administrator
1125,"Joseph, Lynn",The Color of My Words,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
1126,"Juby, Susan",Another Kind of Cowboy,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1127,"Juby, Susan",Another Kind of Cowboy,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1128,"Juby, Susan",Another Kind of Cowboy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1129,"Juettner, Bonnie",Abortion,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1130,"Jules, Jacqueline",Abuela's Birthday (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1131,"Jules, Jacqueline",Abuela's Special Letters (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1132,"Jules, Jacqueline",Every Day Is Exciting (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1133,"Jules, Jacqueline",Hector's Hiccups (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1134,"Jules, Jacqueline",Lights Out (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1135,"Jules, Jacqueline",My Family Adventure (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1136,"Jules, Jacqueline",My Fantástica Family (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1137,"Jules, Jacqueline",My Vida Loca (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1138,"Jules, Jacqueline",Never Say a Mean Word Again: A Tale from Medieval Spain,Banned Pending Investigation,,"Bernhard, Durga Yael",,Florida,Duval County Public Schools,January 2022,Administrator
1139,"Jules, Jacqueline",Picture Perfect (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1140,"Jules, Jacqueline",Shopping Trip Trouble (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1141,"Jules, Jacqueline",Singing Superstar (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1142,"Jules, Jacqueline",Sofia's Party Shoes (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1143,"Jules, Jacqueline",The Beach Trip (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1144,"Jules, Jacqueline",The Marigold Mess (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1145,"Jules, Jacqueline",The Missing Mouse (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1146,"Jules, Jacqueline",The Secret Recipe (Sofía Martínez Series),Banned in Classrooms,,"Smith, Kim",,Pennsylvania,Central York School District,August 2021,Administrator
1147,"June, Jason",Jay's Gay Agenda,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1148,"Kahn, Hena",Amina's Voice (Amina's Voice Series),Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
1149,"Kaiser, Lisbeth","Maya Angelou (Little People, Big Dreams Series)",Banned in Classrooms,,"Salaberria, Leire",,Pennsylvania,Central York School District,August 2021,Administrator
1150,Kaito,"Blue Flag, Vol. 1 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
1151,Kaito,"Blue Flag, Vol. 2 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
1152,Kaito,"Blue Flag, Vol. 3 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
1153,Kaito,"Blue Flag, Vol. 4 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
1154,Kaito,"Blue Flag, Vol. 5 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
1155,Kaito,"Blue Flag, Vol. 6 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
1156,Kaito,"Blue Flag, Vol. 7 (Blue Flag Series)",Banned Pending Investigation,,,"Beck, Adrienne",Tennessee,Collierville Schools,February 2022,Administrator
1157,"Kann, Claire",Let's Talk About Love,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1158,"Kann, Claire",Let's Talk About Love,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1159,"Kann, Claire",The Marvelous,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1160,"Karcz, Lauren",The Gallery of Unfinished Girls,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1161,"Karre, Elizabeth",The Fight (Surviving Southside Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1162,"Katcher, Brian",Almost Perfect,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator
1163,"Katcher, Brian",Almost Perfect,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
1164,"Katcher, Brian",Almost Perfect,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
1165,"Katcher, Brian",Almost Perfect,Banned in Libraries,,,,North Carolina,Iredell-Statesville School District,February 2022,Administrator
1166,"Katcher, Brian",Almost Perfect,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1167,"Katcher, Brian",Almost Perfect,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1168,"Katz, Karen",Los colores de nuestra piel/The Colors of Us (Spanish Version),Banned in Classrooms,,,"Marfà Pagès, Fina",Pennsylvania,Central York School District,August 2021,Administrator
1169,"Katz, Karen",The Colors of Us/Los colores de nuestra piel,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1170,"Kaur, Rupi",Milk and Honey,Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
1171,"Kaur, Rupi",Milk and Honey,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,April 2022,Administrator
1172,"Kaur, Rupi",Milk and Honey,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,April 2022,Administrator
1173,"Kay, Matthew R.","Not Light, but Fire: How to Lead Meaningful Race Conversations in the Classroom",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1174,"Keil, Melissa",Life in Outer Space,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1175,"Keil, Michelle Ruiz",Summer in the City of Roses,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1176,"Kemmerer, Brigid",More Than We Can Tell,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator
1177,"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
1178,"Kendi, Ibram X.",How to Be an Antiracist,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1179,"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1180,"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
1181,"Kendi, Ibram X.",How to Be an Antiracist,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1182,"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Banned Pending Investigation,,,,Florida,Flagler Schools,November 2021,Administrator
1183,"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1184,"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1185,"Kendi, Ibram X.",Stamped from the Beginning: The Definitive History of Racist Ideas in America,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1186,"Kepnes, Caroline",You: A Novel of Dark Obsession (You Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator
1187,"Kern, Peggy",The Test (Bluford High Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1188,"Kerr, M. E.","Hello, I Lied",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
1189,"Keyser, Amber J.",Underneath It All: A History of Women's Underwear,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1190,"Khalil, Aya",The Arabic Quilt: An Immigrant Story,Banned in Classrooms,,"Semirdzhyan, Anait",,Pennsylvania,Central York School District,August 2021,Administrator
1191,"Khan-Cullors, Patrisse",When They Call You a Terrorist (Young Adult Edition): A Story of Black Lives Matter and the Power to Change the World,Banned Pending Investigation,"Bandele, Asha",,,Tennessee,Collierville Schools,February 2022,Administrator
1192,"Khan, Brooke",Home of the Brave: 15 Immigrants Who Shaped U.S. History,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1193,"Khan, Hena",Like the Moon Loves the Sky,Banned in Classrooms,,"Khan, Saffa",,Pennsylvania,Central York School District,August 2021,Administrator
1194,"Khan, Hena",Under My Hijab,Banned in Classrooms,,"Jaleel, Aaliya",,Pennsylvania,Central York School District,August 2021,Administrator
1195,"Khan, Rukhsana",Big Red Lollipop,Banned Pending Investigation,,"Blackall, Sophie",,Florida,Duval County Public Schools,January 2022,Administrator
1196,"Khan, Sabina",The Love and Lies of Rukhsana Ali,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1197,"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1198,"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1199,"Khorram, Adib",Darius the Great Deserves Better (Darius the Great Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1200,"Khorram, Adib",Darius the Great Is Not Okay (Darius the Great Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1201,"Kiely, Brendan",The Other Talk: Reckoning with Our White Privilege,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
1202,"Kilbourne, Christina",They Called Me Red,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
1203,"Kilodavis, Cheryl",My Princess Boy,Banned in Libraries and Classrooms,,"DeSimone, Suzanne",,Florida,Broward County Public Schools,June 2022,Administrator
1204,"King, A. S.",Ask the Passengers,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1205,"King, A. S.",Ask the Passengers,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1206,"King, A. S.",Ask the Passengers,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1207,"King, A. S.",Everybody Sees the Ants,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administrator
1208,"King, A. S.",Everybody Sees the Ants,Banned in Classrooms,,,,Texas,Richardson Independent School District,September 2021,Administrator
1209,"King, Dedie",I See the Sun in Afghanistan,Banned Pending Investigation,,"Inglese, Judith","Vahidi, Mohd",Florida,Duval County Public Schools,January 2022,Administrator
1210,"King, Stephen",Elevation,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1211,"Kissinger, Katie",All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
1212,"Kissinger, Katie",All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color (Spanish Version),Banned in Classrooms,,"Krutein, Wernher",,Pennsylvania,Central York School District,August 2021,Administrator
1213,"Klehr, Dawn",The Cutting Room Floor,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1214,"Klein, Rebecca T.",Transgender Rights and Protections,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
1215,"Klise, James",Love Drugged,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1216,"Kluger, Steve","My Most Excellent Year: A Novel of Love, Mary Poppins, and Fenway Park",Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1217,"Kluger, Steve","My Most Excellent Year: A Novel of Love, Mary Poppins, and Fenway Park",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1218,"Klune, T. J.",The Extraordinaries (The Extraordinaries Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1219,"Knight, Traci M.","RIPPED-APART Understanding, Coping and Living with Gender Dysphoria",Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1220,"Knowles, Jo",Jumping Off Swings (Jumping Off Swings Series),Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
1221,"Knowles, Jo",Pearl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1222,"Knowles, Jo",See You at Harry's,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1223,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Alaska,Anchorage School District,October 2021,Administrator
1224,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Florida,Brevard Public Schools,November 2021,Administrator
1225,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Florida,Orange County Public Schools,October 2021,Administrator
1226,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator
1227,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Florida,Pinellas County Schools,October 2021,Administrator
1228,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Idaho,West Ada School District,February 2022,Formal Challenge
1229,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Illinois,Community High School District 117,December 2021,Administrator
1230,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Illinois,Harlem School District 122,March 2022,Formal Challenge
1231,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,,,,Illinois,Lake Forest Schools,December 2021,Administrator
1232,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Iowa,Ankeny Community School District,November 2021,Formal Challenge
1233,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,,,,Iowa,Waukee Community School District,October 2021,Administrator
1234,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
1235,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Maine,Regional School Unit No. 56,June 2022,Formal Challenge
1236,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,New York,Connetquot Central School District,April 2022,Formal Challenge
1237,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,New York,Wappingers Central School District,March 2022,Formal Challenge
1238,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge
1239,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Ohio,Hudson City Schools,September 2021,Administrator
1240,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,October 2021,Administrator
1241,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,East Stroudsburg Area School District,November 2021,Administrator
1242,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Pennsylvania,Fairview School District,June 2022,Administrator
1243,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Kutztown Area School District,November 2021,Administrator
1244,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries,,,,Pennsylvania,North Penn School District,September 2021,Administrator
1245,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Pennsylvania,Wissahickon School District,October 2021,Administrator
1246,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,South Carolina,Fort Mill Schools,November 2021,Administrator
1247,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge
1248,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Canutillo Independent School District,October 2021,Administrator
1249,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Clear Creek Independent School District,December 2021,Administrator
1250,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator
1251,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Fort Bend ISD,January 2022,Formal Challenge
1252,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge
1253,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,November 2021,Administrator
1254,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,January 2022,Administrator
1255,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Spring Branch Independent School District,November 2021,Administrator
1256,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administrator
1257,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Fairfax County Public Schools,September 2021,Formal Challenge
1258,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Hanover County Public Schools,January 2022,Administrator
1259,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Harrisonburg City Public Schools,November 2021,Administrator
1260,"Kobabe, Maia",Gender Queer: A Memoir,Banned in Libraries and Classrooms,,,,Virginia,Loudoun County Public Schools,September 2021,Administrator
1261,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,October 2021,Administrator
1262,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Washington,Central Kitsap School District,November 2021,Administrator
1263,"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,Washington,Walla Walla Public Schools,February 2022,Formal Challenge
1264,"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
1265,"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1266,"Konigsberg, Bill",Honestly Ben (Openly Straight Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1267,"Konigsberg, Bill",Openly Straight (Openly Straight Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
1268,"Konigsberg, Bill",Openly Straight (Openly Straight Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
1269,"Konigsberg, Bill",The Bridge,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
1270,"Konigsberg, Bill",The Bridge,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
