index,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
2463,"Whaley, John Corey",Highly Illogical Behavior,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2464,"Whitcomb, Laura",A Certain Slant of Light,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
2465,"White, Kiersten",And I Darken (The Conqueror's Saga Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2466,"White, Kiersten",The Dark Descent of Elizabeth Frankenstein,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
2467,"Whitlock, Kay","Considering Hate: Violence, Goodness, and Justice in American Culture and Politics",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2468,"Whittemore, Jo","Lights, Music, Code! (Girls Who Code Series)",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2469,"Wiesel, Elie",Night,Banned in Classrooms,,,"Wiesel, Marion",North Carolina,Pitt County Schools,November 2021,Administrator
2470,"Wiesel, Elie",Night,Banned Pending Investigation,,,"Wiesel, Marion",Texas,Katy Independent School District,January 2022,Administrator
2471,"Wilke, Daria",Playing a Part,Banned Pending Investigation,,,"Schwartz, Marian",Texas,Granbury Independent School District,January 2022,Administrator
2472,"Wilkerson, Isabel",Caste: The Origins of Our Discontents,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2473,"Wilkinson, Lili",Pink,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
2474,"Willems, Mo",Because,Banned in Classrooms,,"Ren, Amber",,Pennsylvania,Central York School District,August 2021,Administrator
2475,"Willhoite, Michael",Daddy's Roommate,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
2476,"Williams, David",The Boy in the Dress,Banned in Libraries,,"Blake, Quentin",,Florida,Sarasota County School,October 2021,Formal Challenge
2477,"Williams, Karen Lynn","Four Feet, Two Sandals",Banned Pending Investigation,"Mohammed, Khadra","Chayka, Doug",,Florida,Duval County Public Schools,January 2022,Administrator
2478,"Williamson, Lisa",The Art of Being Normal,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2479,"Wilson, August",Fences,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
2480,"Wilson, Jamia",Young Gifted and Black: Meet 52 Black Heroes from Past and Present,Banned in Classrooms,,"Pippins, Andrea",,Pennsylvania,Central York School District,August 2021,Administrator
2481,"Wilson, Lakita",What Is Black Lives Matter? (What was...? Series),Banned in Libraries and Classrooms,,"Copeland, Gregory",,Florida,Indian River County School District,November 2021,Administrator
2482,"Wilson, Martin",We Now Return to Regular Life,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2483,"Wilson, Martin",What They Always Tell Us,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
2484,"Wilson, Martin",What They Always Tell Us,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2485,"Wind, Lee","No Way, They Were Gay?: Hidden Lives and Secret Loves",Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2486,"Winfield, Cynthia L.",Gender Identity: The Ultimate Teen Guide,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
2487,"Winter, Jonah",Roberto Clemente: Pride of the Pittsburgh Pirates,Banned Pending Investigation,,"Colón, Raúl",,Florida,Duval County Public Schools,January 2022,Administrator
2488,"Winter, Jonah",Sonia Sotomayor: A Judge Grows in the Bronx/La juez que creció en el Bronx,Banned in Classrooms,,"Rodriquez, Edel",,Pennsylvania,Central York School District,August 2021,Administrator
2489,"Winters, Julian",The Summer of Everything,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2490,"Wittlinger, Ellen",Parrotfish,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
